Sno,ID,Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Total Liabilities,Net Assets
229,3064,Akmal Khan Urf Chaman,BADAUN,BSP,0,Literate,14679858,1510000,13169858
230,4389,Akshay Yadav,FIROZABAD,SP,0,Graduate,100883304,59377,100823927
231,7752,Akshaybar Nath Mishra,LUDHIANA,JD(U),1,Post Graduate,255200,0,255200
232,6769,Akthaar Ali,JHANJHARPUR,Jai Prakash Janata Dal,0,Graduate,116600,0,116600
233,4339,Al Sivagnanam,SIVAGANGA,IND,0,5th Pass,69480,0,69480
234,6310,Alagiri.S,CUDDALORE,INC,0,Graduate,17918014,51740512,0
235,7574,Alagumalai.V.,TENKASI,IND,0,12th Pass,470000,0,470000
236,7507,"Alagusundaram, K.",THENI,MDMK,1,Graduate Professional,3085000,254000,2831000
237,1901,Albin M U,ALATHUR,IND,0,12th Pass,900,0,900
238,1988,Aleixo Reginaldo Lourenco,SOUTH GOA,INC,0,12th Pass,31453008,905729,30547279
239,967,Aleyamma Varghese,PATHANAMTHITTA,AITC,0,10th Pass,22800000,4200000,18600000
240,5382,Alfraid Vikas Luis,DURG,IND,0,Graduate,136000,0,136000
241,1846,Ali Akbar,VADAKARA,AAP,0,12th Pass,4448946,2674831,1774115
242,995,Ali Husan,NORTH EAST DELHI,IND,0,5th Pass,1047500,0,1047500
243,4875,Ali Hussain,DHUBRI,IND,0,Graduate,114136,0,114136
244,832,Ali Kishor Patnaik,BERHAMPUR,CPI(M),1,Graduate,7450333,0,7450333
245,5241,Alimuddin Ansari,BANKA,IND,0,Others,352000,0,352000
246,4489,Alimuddin Ansari,KISHANGANJ,AAP,0,10th Pass,5210680,0,5210680
247,7163,Allapichai .E,RAMANATHAPURAM,IND,0,Graduate,13660000,0,13660000
248,4196,Alok Agarwal,KHANDWA,AAP,2,Graduate Professional,12871,0,12871
249,4417,Alok Nandan,MAINPURI,IND,0,Post Graduate,8647900,0,8647900
250,2907,Alok Sanjar,BHOPAL,BJP,0,Graduate Professional,14594066,300000,14294066
251,2950,Alok Sharma,GWALIOR,BSP,0,8th Pass,20454704,0,20454704
252,6974,"Alphonesraj, M.",COIMBATORE,IND,0,5th Pass,261500,0,261500
253,3661,Altaf Abdulgani Shikalgar,SATARA,Bahujan Mukti Party,0,8th Pass,5727145,227144,5500001
254,3302,Altaf Ahamad Iqbal Ahmad,NANDED,IUML,0,Graduate,4462742,571000,3891742
255,968,Altaf Husain,CHANDNI CHOWK,Bhartiya Janta Dal (Integrated),0,12th Pass,4790000,0,4790000
256,3594,Altaf Husain Yenegure,OSMANABAD,IND,0,Graduate,1690000,0,1690000
257,851,Alur M.G. Swamy,DAVANAGERE,IND,0,Graduate,36920000,150000,36770000
258,7562,Alwarsamy Karthikeyan.L,THOOTHUKKUDI,IND,0,Post Graduate,480000,0,480000
259,2793,Amal Say Sori,KANKER,IND,0,Graduate,362500,400000,0
260,4500,Aman Kumar Samajsevi,SUPAUL,BSP,0,12th Pass,5728000,0,5728000
261,4007,Amanullah,RANCHI,AAP,0,Post Graduate,2391132,126000,2265132
262,5088,Amar Chand Pohiya,BHARATPUR,Rajasthan Vikas Party,0,10th Pass,2076000,23000,2053000
263,4130,Amar Nath Pandey,KORBA,AAP,2,Graduate Professional,3656000,393000,3263000
264,4988,Amar Singh,FATEHPUR SIKRI,RLD,0,Graduate Professional,966849798,0,966849798
265,4931,Amar Singh,AGRA,IND,0,12th Pass,247000,0,247000
266,4935,Amar Singh,AKBARPUR,Janvadi Party(Socialist),0,10th Pass,1701500,250000,1451500
267,2288,Amar Singh,GANGANAGAR,Bahujan Mukti Party,0,10th Pass,1230000,586706,643294
268,4215,Amar Singh Patel,VIDISHA,BSP,0,12th Pass,311829,27310,284519
269,6626,Amar Singh Rathaur,BANDA,AAP,0,Graduate Professional,7180000,620000,6560000
270,2343,Amara Ram,SIKAR,CPI(M),0,Post Graduate,4681929,774000,3907929
271,7669,Amarinder Singh,AMRITSAR,IND,0,12th Pass,60000,0,60000
272,592,Amarjit Kaur,CHANDIGARH,IND,0,8th Pass,7020000,500000,6520000
273,6100,Amarjit Singh Asal,AMRITSAR,CPI,0,Post Graduate,1866611,0,1866611
274,1142,Amarnath Pradhan,SAMBALPUR,INC,0,Post Graduate,56069048,0,56069048
275,4494,Amarnath Tiwari,PURNIA,INC,1,Graduate,43329826,6731845,36597981
276,1011,Amarson Sankhil,OUTER MANIPUR,IND,0,Post Graduate,857093,0,857093
277,1210,Ambalathara Kunhikrishnan,KASARAGOD,AAP,0,10th Pass,245690,0,245690
278,214,Ambedkar Prakash Yashwant,AKOLA,Bharipa Bahujan Mahasangh,3,Graduate Professional,35716840,1400000,34316840
279,4315,Ambendkari Hasnooram Ambendkari,FATEHPUR SIKRI,IND,0,Literate,262200,120000,142200
280,3013,Ambesh Kumari,TIKAMGARH,SP,1,Doctorate,15710045,3255734,12454311
281,6116,Ambika Soni,ANANDPUR SAHIB,INC,0,Post Graduate,1180035973,27847000,1152188973
